timestamp,station,channel,data_type,view,value,units
2026-03-18T17:30:00.000Z,BOUV,X,variation,channel,21900.61538777882,nT
2026-03-18T17:31:00.000Z,BOUV,X,variation,channel,21900.7223554523,nT
2026-03-18T17:32:00.000Z,BOUV,X,variation,channel,21900.672706179746,nT
2026-03-18T17:33:00.000Z,BOUV,X,variation,channel,21900.46588773741,nT
2026-03-18T17:34:00.000Z,BOUV,X,variation,channel,21900.437007365967,nT
2026-03-18T17:35:00.000Z,BOUV,X,variation,channel,21900.27374092579,nT
2026-03-18T17:36:00.000Z,BOUV,X,variation,channel,21900.156792480055,nT
2026-03-18T17:37:00.000Z,BOUV,X,variation,channel,21900.15760422469,nT
2026-03-18T17:38:00.000Z,BOUV,X,variation,channel,21900.368012460716,nT
2026-03-18T17:39:00.000Z,BOUV,X,variation,channel,21900.635239442745,nT
2026-03-18T17:40:00.000Z,BOUV,X,variation,channel,21900.449338061135,nT
2026-03-18T17:41:00.000Z,BOUV,X,variation,channel,21900.238491170905,nT
2026-03-18T17:42:00.000Z,BOUV,X,variation,channel,21900.348335886036,nT
2026-03-18T17:43:00.000Z,BOUV,X,variation,channel,21900.177920255417,nT
2026-03-18T17:44:00.000Z,BOUV,X,variation,channel,21900.031261956177,nT
2026-03-18T17:45:00.000Z,BOUV,X,variation,channel,21899.978053428218,nT
2026-03-18T17:46:00.000Z,BOUV,X,variation,channel,21900.1335270816,nT
2026-03-18T17:47:00.000Z,BOUV,X,variation,channel,21900.054258705375,nT
2026-03-18T17:48:00.000Z,BOUV,X,variation,channel,21899.98418397958,nT
2026-03-18T17:49:00.000Z,BOUV,X,variation,channel,21900.09127868029,nT
2026-03-18T17:50:00.000Z,BOUV,X,variation,channel,21900.109842714446,nT
2026-03-18T17:51:00.000Z,BOUV,X,variation,channel,21900.130684795204,nT
2026-03-18T17:52:00.000Z,BOUV,X,variation,channel,21900.27116642287,nT
2026-03-18T17:53:00.000Z,BOUV,X,variation,channel,21900.393390785222,nT
2026-03-18T17:54:00.000Z,BOUV,X,variation,channel,21900.206865614568,nT
2026-03-18T17:55:00.000Z,BOUV,X,variation,channel,21900.22926761884,nT
2026-03-18T17:56:00.000Z,BOUV,X,variation,channel,21900.02301323472,nT
2026-03-18T17:57:00.000Z,BOUV,X,variation,channel,21900.020116562104,nT
2026-03-18T17:58:00.000Z,BOUV,X,variation,channel,21900.1251379782,nT
2026-03-18T17:59:00.000Z,BOUV,X,variation,channel,21900.19009870447,nT
2026-03-18T18:00:00.000Z,BOUV,X,variation,channel,21900.28494609683,nT
2026-03-18T18:01:00.000Z,BOUV,X,variation,channel,21899.972456395833,nT
2026-03-18T18:02:00.000Z,BOUV,X,variation,channel,21900.050627527442,nT
2026-03-18T18:03:00.000Z,BOUV,X,variation,channel,21900.18145328936,nT
2026-03-18T18:04:00.000Z,BOUV,X,variation,channel,21900.19168130909,nT
2026-03-18T18:05:00.000Z,BOUV,X,variation,channel,21900.470748574706,nT
2026-03-18T18:06:00.000Z,BOUV,X,variation,channel,21900.330809467952,nT
2026-03-18T18:07:00.000Z,BOUV,X,variation,channel,21900.808655504254,nT
2026-03-18T18:08:00.000Z,BOUV,X,variation,channel,21900.929942215695,nT
2026-03-18T18:09:00.000Z,BOUV,X,variation,channel,21900.938737495617,nT
2026-03-18T18:10:00.000Z,BOUV,X,variation,channel,21900.7909988857,nT
2026-03-18T18:11:00.000Z,BOUV,X,variation,channel,21901.251545964613,nT
2026-03-18T18:12:00.000Z,BOUV,X,variation,channel,21901.00733880922,nT
2026-03-18T18:13:00.000Z,BOUV,X,variation,channel,21900.90513819905,nT
2026-03-18T18:14:00.000Z,BOUV,X,variation,channel,21900.87626159221,nT
2026-03-18T18:15:00.000Z,BOUV,X,variation,channel,21900.669725088537,nT
2026-03-18T18:16:00.000Z,BOUV,X,variation,channel,21900.48049367919,nT
2026-03-18T18:17:00.000Z,BOUV,X,variation,channel,21900.568374255723,nT
2026-03-18T18:18:00.000Z,BOUV,X,variation,channel,21900.44081330399,nT
2026-03-18T18:19:00.000Z,BOUV,X,variation,channel,21900.39382914046,nT
2026-03-18T18:20:00.000Z,BOUV,X,variation,channel,21900.768930423284,nT
2026-03-18T18:21:00.000Z,BOUV,X,variation,channel,21900.41965309535,nT
2026-03-18T18:22:00.000Z,BOUV,X,variation,channel,21900.686641945696,nT
2026-03-18T18:23:00.000Z,BOUV,X,variation,channel,21900.66375810375,nT
2026-03-18T18:24:00.000Z,BOUV,X,variation,channel,21900.70466312625,nT
2026-03-18T18:25:00.000Z,BOUV,X,variation,channel,21900.72369835563,nT
2026-03-18T18:26:00.000Z,BOUV,X,variation,channel,21900.803229747566,nT
2026-03-18T18:27:00.000Z,BOUV,X,variation,channel,21900.728034460302,nT
2026-03-18T18:28:00.000Z,BOUV,X,variation,channel,21900.647400808433,nT
2026-03-18T18:29:00.000Z,BOUV,X,variation,channel,21900.69127785742,nT
2026-03-18T18:30:00.000Z,BOUV,X,variation,channel,21900.67528803256,nT
2026-03-18T18:31:00.000Z,BOUV,X,variation,channel,21900.569535087983,nT
2026-03-18T18:32:00.000Z,BOUV,X,variation,channel,21900.439073841517,nT
2026-03-18T18:33:00.000Z,BOUV,X,variation,channel,21900.505781948184,nT
2026-03-18T18:34:00.000Z,BOUV,X,variation,channel,21900.352565764333,nT
2026-03-18T18:35:00.000Z,BOUV,X,variation,channel,21900.234863738257,nT
2026-03-18T18:36:00.000Z,BOUV,X,variation,channel,21900.016268070292,nT
2026-03-18T18:37:00.000Z,BOUV,X,variation,channel,21900.26451371801,nT
2026-03-18T18:38:00.000Z,BOUV,X,variation,channel,21900.239146453703,nT
2026-03-18T18:39:00.000Z,BOUV,X,variation,channel,21900.304541874357,nT
2026-03-18T18:40:00.000Z,BOUV,X,variation,channel,21900.56744495497,nT
2026-03-18T18:41:00.000Z,BOUV,X,variation,channel,21900.605468549616,nT
2026-03-18T18:42:00.000Z,BOUV,X,variation,channel,21900.76936711525,nT
2026-03-18T18:43:00.000Z,BOUV,X,variation,channel,21900.78511996103,nT
2026-03-18T18:44:00.000Z,BOUV,X,variation,channel,21901.079653450342,nT
2026-03-18T18:45:00.000Z,BOUV,X,variation,channel,21901.070875367004,nT
2026-03-18T18:46:00.000Z,BOUV,X,variation,channel,,nT
2026-03-18T18:47:00.000Z,BOUV,X,variation,channel,21901.315729693477,nT
2026-03-18T18:48:00.000Z,BOUV,X,variation,channel,21901.86539321132,nT
2026-03-18T18:49:00.000Z,BOUV,X,variation,channel,21902.028241192034,nT
2026-03-18T18:50:00.000Z,BOUV,X,variation,channel,21901.959193259394,nT
2026-03-18T18:51:00.000Z,BOUV,X,variation,channel,21901.660459519382,nT
2026-03-18T18:52:00.000Z,BOUV,X,variation,channel,21901.475149195518,nT
2026-03-18T18:53:00.000Z,BOUV,X,variation,channel,21901.527682892534,nT
2026-03-18T18:54:00.000Z,BOUV,X,variation,channel,21900.99218217851,nT
2026-03-18T18:55:00.000Z,BOUV,X,variation,channel,21900.07190905693,nT
2026-03-18T18:56:00.000Z,BOUV,X,variation,channel,21899.95503843183,nT
2026-03-18T18:57:00.000Z,BOUV,X,variation,channel,21899.749466058915,nT
2026-03-18T18:58:00.000Z,BOUV,X,variation,channel,21899.530529573196,nT
2026-03-18T18:59:00.000Z,BOUV,X,variation,channel,21899.585655825736,nT
