timestamp,station,channel,data_type,view,value,units
2026-04-15T17:30:00.000Z,BOUV,X,variation,channel,21878.847097792022,nT
2026-04-15T17:31:00.000Z,BOUV,X,variation,channel,21879.52944303493,nT
2026-04-15T17:32:00.000Z,BOUV,X,variation,channel,21879.488385903314,nT
2026-04-15T17:33:00.000Z,BOUV,X,variation,channel,21879.082444301333,nT
2026-04-15T17:34:00.000Z,BOUV,X,variation,channel,21878.715404778904,nT
2026-04-15T17:35:00.000Z,BOUV,X,variation,channel,21878.294005366075,nT
2026-04-15T17:36:00.000Z,BOUV,X,variation,channel,21878.26849414603,nT
2026-04-15T17:37:00.000Z,BOUV,X,variation,channel,21878.533123082994,nT
2026-04-15T17:38:00.000Z,BOUV,X,variation,channel,21878.686116553126,nT
2026-04-15T17:39:00.000Z,BOUV,X,variation,channel,21878.557166760143,nT
2026-04-15T17:40:00.000Z,BOUV,X,variation,channel,21878.403191222802,nT
2026-04-15T17:41:00.000Z,BOUV,X,variation,channel,21878.15320403766,nT
2026-04-15T17:42:00.000Z,BOUV,X,variation,channel,21877.883752483252,nT
2026-04-15T17:43:00.000Z,BOUV,X,variation,channel,21877.91873064228,nT
2026-04-15T17:44:00.000Z,BOUV,X,variation,channel,21878.323063456748,nT
2026-04-15T17:45:00.000Z,BOUV,X,variation,channel,21878.642168195773,nT
2026-04-15T17:46:00.000Z,BOUV,X,variation,channel,21878.412869429885,nT
2026-04-15T17:47:00.000Z,BOUV,X,variation,channel,21878.590087617144,nT
2026-04-15T17:48:00.000Z,BOUV,X,variation,channel,21878.369413291075,nT
2026-04-15T17:49:00.000Z,BOUV,X,variation,channel,21878.491030852805,nT
2026-04-15T17:50:00.000Z,BOUV,X,variation,channel,21878.38013874278,nT
2026-04-15T17:51:00.000Z,BOUV,X,variation,channel,21878.226409950163,nT
2026-04-15T17:52:00.000Z,BOUV,X,variation,channel,21878.089415071336,nT
2026-04-15T17:53:00.000Z,BOUV,X,variation,channel,21877.8795527313,nT
2026-04-15T17:54:00.000Z,BOUV,X,variation,channel,21877.595574237686,nT
2026-04-15T17:55:00.000Z,BOUV,X,variation,channel,21878.09103921194,nT
2026-04-15T17:56:00.000Z,BOUV,X,variation,channel,21878.832087062372,nT
2026-04-15T17:57:00.000Z,BOUV,X,variation,channel,21878.71691469374,nT
2026-04-15T17:58:00.000Z,BOUV,X,variation,channel,21879.301757247762,nT
2026-04-15T17:59:00.000Z,BOUV,X,variation,channel,21879.431128514778,nT
2026-04-15T18:00:00.000Z,BOUV,X,variation,channel,21879.60551160947,nT
2026-04-15T18:01:00.000Z,BOUV,X,variation,channel,21879.655350372486,nT
2026-04-15T18:02:00.000Z,BOUV,X,variation,channel,21879.76420883995,nT
2026-04-15T18:03:00.000Z,BOUV,X,variation,channel,21880.155651356545,nT
2026-04-15T18:04:00.000Z,BOUV,X,variation,channel,21880.294808552462,nT
2026-04-15T18:05:00.000Z,BOUV,X,variation,channel,21880.60376575807,nT
2026-04-15T18:06:00.000Z,BOUV,X,variation,channel,21881.035444637488,nT
2026-04-15T18:07:00.000Z,BOUV,X,variation,channel,21880.60199978997,nT
2026-04-15T18:08:00.000Z,BOUV,X,variation,channel,21880.210215293686,nT
2026-04-15T18:09:00.000Z,BOUV,X,variation,channel,21880.22667809899,nT
2026-04-15T18:10:00.000Z,BOUV,X,variation,channel,21880.593627211114,nT
2026-04-15T18:11:00.000Z,BOUV,X,variation,channel,21880.750619930477,nT
2026-04-15T18:12:00.000Z,BOUV,X,variation,channel,21880.895320483145,nT
2026-04-15T18:13:00.000Z,BOUV,X,variation,channel,21881.445363642462,nT
2026-04-15T18:14:00.000Z,BOUV,X,variation,channel,21881.27727493833,nT
