timestamp,station,channel,data_type,view,value,units
2026-03-18T17:30:00.000Z,CMO,X,adjusted,channel,12283.82,nT
2026-03-18T17:31:00.000Z,CMO,X,adjusted,channel,12283.543,nT
2026-03-18T17:32:00.000Z,CMO,X,adjusted,channel,12282.643,nT
2026-03-18T17:33:00.000Z,CMO,X,adjusted,channel,12281.837,nT
2026-03-18T17:34:00.000Z,CMO,X,adjusted,channel,12281.936,nT
2026-03-18T17:35:00.000Z,CMO,X,adjusted,channel,12282.53,nT
2026-03-18T17:36:00.000Z,CMO,X,adjusted,channel,12283.041,nT
2026-03-18T17:37:00.000Z,CMO,X,adjusted,channel,12283.294,nT
2026-03-18T17:38:00.000Z,CMO,X,adjusted,channel,12283.184,nT
2026-03-18T17:39:00.000Z,CMO,X,adjusted,channel,12281.661,nT
2026-03-18T17:40:00.000Z,CMO,X,adjusted,channel,12281.358,nT
2026-03-18T17:41:00.000Z,CMO,X,adjusted,channel,12280.882,nT
2026-03-18T17:42:00.000Z,CMO,X,adjusted,channel,12280.619,nT
2026-03-18T17:43:00.000Z,CMO,X,adjusted,channel,12281.382,nT
2026-03-18T17:44:00.000Z,CMO,X,adjusted,channel,12281.711,nT
2026-03-18T17:45:00.000Z,CMO,X,adjusted,channel,12282.305,nT
2026-03-18T17:46:00.000Z,CMO,X,adjusted,channel,12282.753,nT
2026-03-18T17:47:00.000Z,CMO,X,adjusted,channel,12283.312,nT
2026-03-18T17:48:00.000Z,CMO,X,adjusted,channel,12282.963,nT
2026-03-18T17:49:00.000Z,CMO,X,adjusted,channel,12282.049,nT
2026-03-18T17:50:00.000Z,CMO,X,adjusted,channel,12281.927,nT
2026-03-18T17:51:00.000Z,CMO,X,adjusted,channel,12281.844,nT
2026-03-18T17:52:00.000Z,CMO,X,adjusted,channel,12281.554,nT
2026-03-18T17:53:00.000Z,CMO,X,adjusted,channel,12281.21,nT
2026-03-18T17:54:00.000Z,CMO,X,adjusted,channel,12280.99,nT
2026-03-18T17:55:00.000Z,CMO,X,adjusted,channel,12281.155,nT
2026-03-18T17:56:00.000Z,CMO,X,adjusted,channel,12281.837,nT
2026-03-18T17:57:00.000Z,CMO,X,adjusted,channel,12281.69,nT
2026-03-18T17:58:00.000Z,CMO,X,adjusted,channel,12281.016,nT
2026-03-18T17:59:00.000Z,CMO,X,adjusted,channel,12280.893,nT
2026-03-18T18:00:00.000Z,CMO,X,adjusted,channel,12280.92,nT
2026-03-18T18:01:00.000Z,CMO,X,adjusted,channel,12280.053,nT
2026-03-18T18:02:00.000Z,CMO,X,adjusted,channel,12280.444,nT
2026-03-18T18:03:00.000Z,CMO,X,adjusted,channel,12280.857,nT
2026-03-18T18:04:00.000Z,CMO,X,adjusted,channel,12279.931,nT
2026-03-18T18:05:00.000Z,CMO,X,adjusted,channel,12280.446,nT
2026-03-18T18:06:00.000Z,CMO,X,adjusted,channel,12280.133,nT
2026-03-18T18:07:00.000Z,CMO,X,adjusted,channel,12280.119,nT
2026-03-18T18:08:00.000Z,CMO,X,adjusted,channel,12278.797,nT
2026-03-18T18:09:00.000Z,CMO,X,adjusted,channel,12277.952,nT
2026-03-18T18:10:00.000Z,CMO,X,adjusted,channel,12277.485,nT
2026-03-18T18:11:00.000Z,CMO,X,adjusted,channel,12277.642,nT
2026-03-18T18:12:00.000Z,CMO,X,adjusted,channel,12277.484,nT
2026-03-18T18:13:00.000Z,CMO,X,adjusted,channel,12277.322,nT
2026-03-18T18:14:00.000Z,CMO,X,adjusted,channel,12276.494,nT
2026-03-18T18:15:00.000Z,CMO,X,adjusted,channel,12277.073,nT
2026-03-18T18:16:00.000Z,CMO,X,adjusted,channel,12277.904,nT
2026-03-18T18:17:00.000Z,CMO,X,adjusted,channel,12278.02,nT
2026-03-18T18:18:00.000Z,CMO,X,adjusted,channel,12278.591,nT
2026-03-18T18:19:00.000Z,CMO,X,adjusted,channel,12279.859,nT
2026-03-18T18:20:00.000Z,CMO,X,adjusted,channel,12279.366,nT
2026-03-18T18:21:00.000Z,CMO,X,adjusted,channel,12279.207,nT
2026-03-18T18:22:00.000Z,CMO,X,adjusted,channel,12278.74,nT
2026-03-18T18:23:00.000Z,CMO,X,adjusted,channel,12278.709,nT
2026-03-18T18:24:00.000Z,CMO,X,adjusted,channel,12279.068,nT
2026-03-18T18:25:00.000Z,CMO,X,adjusted,channel,12279.097,nT
2026-03-18T18:26:00.000Z,CMO,X,adjusted,channel,12279.282,nT
2026-03-18T18:27:00.000Z,CMO,X,adjusted,channel,12279.522,nT
2026-03-18T18:28:00.000Z,CMO,X,adjusted,channel,12279.646,nT
2026-03-18T18:29:00.000Z,CMO,X,adjusted,channel,12279.098,nT
2026-03-18T18:30:00.000Z,CMO,X,adjusted,channel,12278.609,nT
2026-03-18T18:31:00.000Z,CMO,X,adjusted,channel,12278.77,nT
2026-03-18T18:32:00.000Z,CMO,X,adjusted,channel,12279.143,nT
2026-03-18T18:33:00.000Z,CMO,X,adjusted,channel,12278.475,nT
2026-03-18T18:34:00.000Z,CMO,X,adjusted,channel,12278.883,nT
2026-03-18T18:35:00.000Z,CMO,X,adjusted,channel,12279.68,nT
2026-03-18T18:36:00.000Z,CMO,X,adjusted,channel,12278.863,nT
2026-03-18T18:37:00.000Z,CMO,X,adjusted,channel,12279.152,nT
2026-03-18T18:38:00.000Z,CMO,X,adjusted,channel,12279.137,nT
2026-03-18T18:39:00.000Z,CMO,X,adjusted,channel,12277.886,nT
2026-03-18T18:40:00.000Z,CMO,X,adjusted,channel,12277.876,nT
2026-03-18T18:41:00.000Z,CMO,X,adjusted,channel,12278.676,nT
2026-03-18T18:42:00.000Z,CMO,X,adjusted,channel,12277.661,nT
2026-03-18T18:43:00.000Z,CMO,X,adjusted,channel,12276.739,nT
2026-03-18T18:44:00.000Z,CMO,X,adjusted,channel,12277.169,nT
2026-03-18T18:45:00.000Z,CMO,X,adjusted,channel,12277.296,nT
2026-03-18T18:46:00.000Z,CMO,X,adjusted,channel,12275.685,nT
2026-03-18T18:47:00.000Z,CMO,X,adjusted,channel,12274.033,nT
2026-03-18T18:48:00.000Z,CMO,X,adjusted,channel,12272.966,nT
2026-03-18T18:49:00.000Z,CMO,X,adjusted,channel,12271.364,nT
2026-03-18T18:50:00.000Z,CMO,X,adjusted,channel,12270.168,nT
2026-03-18T18:51:00.000Z,CMO,X,adjusted,channel,12266.834,nT
2026-03-18T18:52:00.000Z,CMO,X,adjusted,channel,12265.204,nT
2026-03-18T18:53:00.000Z,CMO,X,adjusted,channel,12265.554,nT
2026-03-18T18:54:00.000Z,CMO,X,adjusted,channel,12266.858,nT
2026-03-18T18:55:00.000Z,CMO,X,adjusted,channel,12267.348,nT
2026-03-18T18:56:00.000Z,CMO,X,adjusted,channel,12269.133,nT
2026-03-18T18:57:00.000Z,CMO,X,adjusted,channel,12272.865,nT
2026-03-18T18:58:00.000Z,CMO,X,adjusted,channel,12276.549,nT
2026-03-18T18:59:00.000Z,CMO,X,adjusted,channel,12278.479,nT
2026-03-18T19:00:00.000Z,CMO,X,adjusted,channel,12276.615,nT
2026-03-18T19:01:00.000Z,CMO,X,adjusted,channel,12274.261,nT
2026-03-18T19:02:00.000Z,CMO,X,adjusted,channel,12273.277,nT
2026-03-18T19:03:00.000Z,CMO,X,adjusted,channel,12273.325,nT
2026-03-18T19:04:00.000Z,CMO,X,adjusted,channel,12273.681,nT
2026-03-18T19:05:00.000Z,CMO,X,adjusted,channel,12275.244,nT
2026-03-18T19:06:00.000Z,CMO,X,adjusted,channel,12277.048,nT
2026-03-18T19:07:00.000Z,CMO,X,adjusted,channel,12276.079,nT
2026-03-18T19:08:00.000Z,CMO,X,adjusted,channel,12275.084,nT
2026-03-18T19:09:00.000Z,CMO,X,adjusted,channel,12275.276,nT
2026-03-18T19:10:00.000Z,CMO,X,adjusted,channel,12274.899,nT
2026-03-18T19:11:00.000Z,CMO,X,adjusted,channel,12275.317,nT
2026-03-18T19:12:00.000Z,CMO,X,adjusted,channel,12275.175,nT
2026-03-18T19:13:00.000Z,CMO,X,adjusted,channel,12273.818,nT
2026-03-18T19:14:00.000Z,CMO,X,adjusted,channel,12274.04,nT
2026-03-18T19:15:00.000Z,CMO,X,adjusted,channel,12276.02,nT
2026-03-18T19:16:00.000Z,CMO,X,adjusted,channel,12276.331,nT
2026-03-18T19:17:00.000Z,CMO,X,adjusted,channel,12276.829,nT
2026-03-18T19:18:00.000Z,CMO,X,adjusted,channel,12276.267,nT
2026-03-18T19:19:00.000Z,CMO,X,adjusted,channel,12272.793,nT
2026-03-18T19:20:00.000Z,CMO,X,adjusted,channel,12269.525,nT
2026-03-18T19:21:00.000Z,CMO,X,adjusted,channel,12269.808,nT
2026-03-18T19:22:00.000Z,CMO,X,adjusted,channel,12271.082,nT
2026-03-18T19:23:00.000Z,CMO,X,adjusted,channel,12270.79,nT
2026-03-18T19:24:00.000Z,CMO,X,adjusted,channel,12271.283,nT
2026-03-18T19:25:00.000Z,CMO,X,adjusted,channel,12272.164,nT
2026-03-18T19:26:00.000Z,CMO,X,adjusted,channel,12272.844,nT
2026-03-18T19:27:00.000Z,CMO,X,adjusted,channel,12274.194,nT
2026-03-18T19:28:00.000Z,CMO,X,adjusted,channel,12273.984,nT
2026-03-18T19:29:00.000Z,CMO,X,adjusted,channel,12273.21,nT
2026-03-18T19:30:00.000Z,CMO,X,adjusted,channel,12274.957,nT
2026-03-18T19:31:00.000Z,CMO,X,adjusted,channel,12277.705,nT
2026-03-18T19:32:00.000Z,CMO,X,adjusted,channel,12276.843,nT
2026-03-18T19:33:00.000Z,CMO,X,adjusted,channel,12275.536,nT
2026-03-18T19:34:00.000Z,CMO,X,adjusted,channel,12275.467,nT
2026-03-18T19:35:00.000Z,CMO,X,adjusted,channel,12275.794,nT
2026-03-18T19:36:00.000Z,CMO,X,adjusted,channel,12275.228,nT
2026-03-18T19:37:00.000Z,CMO,X,adjusted,channel,12275.484,nT
2026-03-18T19:38:00.000Z,CMO,X,adjusted,channel,12275.444,nT
2026-03-18T19:39:00.000Z,CMO,X,adjusted,channel,12275.491,nT
2026-03-18T19:40:00.000Z,CMO,X,adjusted,channel,12277.441,nT
2026-03-18T19:41:00.000Z,CMO,X,adjusted,channel,12278.194,nT
2026-03-18T19:42:00.000Z,CMO,X,adjusted,channel,12277.816,nT
2026-03-18T19:43:00.000Z,CMO,X,adjusted,channel,12275.429,nT
2026-03-18T19:44:00.000Z,CMO,X,adjusted,channel,12275.327,nT
2026-03-18T19:45:00.000Z,CMO,X,adjusted,channel,12275.668,nT
2026-03-18T19:46:00.000Z,CMO,X,adjusted,channel,12274.993,nT
2026-03-18T19:47:00.000Z,CMO,X,adjusted,channel,12273.553,nT
2026-03-18T19:48:00.000Z,CMO,X,adjusted,channel,12271.053,nT
2026-03-18T19:49:00.000Z,CMO,X,adjusted,channel,12272.04,nT
2026-03-18T19:50:00.000Z,CMO,X,adjusted,channel,12273.846,nT
2026-03-18T19:51:00.000Z,CMO,X,adjusted,channel,12272.653,nT
2026-03-18T19:52:00.000Z,CMO,X,adjusted,channel,12273.119,nT
2026-03-18T19:53:00.000Z,CMO,X,adjusted,channel,12273.87,nT
2026-03-18T19:54:00.000Z,CMO,X,adjusted,channel,12273.959,nT
2026-03-18T19:55:00.000Z,CMO,X,adjusted,channel,12273.245,nT
2026-03-18T19:56:00.000Z,CMO,X,adjusted,channel,12272.429,nT
2026-03-18T19:57:00.000Z,CMO,X,adjusted,channel,12272.908,nT
2026-03-18T19:58:00.000Z,CMO,X,adjusted,channel,12274.416,nT
2026-03-18T19:59:00.000Z,CMO,X,adjusted,channel,12274.129,nT
2026-03-18T20:00:00.000Z,CMO,X,adjusted,channel,12271.796,nT
2026-03-18T20:01:00.000Z,CMO,X,adjusted,channel,12270.527,nT
2026-03-18T20:02:00.000Z,CMO,X,adjusted,channel,12271.928,nT
2026-03-18T20:03:00.000Z,CMO,X,adjusted,channel,12272.681,nT
2026-03-18T20:04:00.000Z,CMO,X,adjusted,channel,12272.454,nT
2026-03-18T20:05:00.000Z,CMO,X,adjusted,channel,12273.15,nT
2026-03-18T20:06:00.000Z,CMO,X,adjusted,channel,12273.265,nT
2026-03-18T20:07:00.000Z,CMO,X,adjusted,channel,12273.714,nT
2026-03-18T20:08:00.000Z,CMO,X,adjusted,channel,12274.119,nT
2026-03-18T20:09:00.000Z,CMO,X,adjusted,channel,12273.777,nT
2026-03-18T20:10:00.000Z,CMO,X,adjusted,channel,12273.514,nT
2026-03-18T20:11:00.000Z,CMO,X,adjusted,channel,12274.415,nT
2026-03-18T20:12:00.000Z,CMO,X,adjusted,channel,12273.918,nT
2026-03-18T20:13:00.000Z,CMO,X,adjusted,channel,12273.654,nT
2026-03-18T20:14:00.000Z,CMO,X,adjusted,channel,12273.78,nT
2026-03-18T20:15:00.000Z,CMO,X,adjusted,channel,12274.592,nT
2026-03-18T20:16:00.000Z,CMO,X,adjusted,channel,12274.819,nT
2026-03-18T20:17:00.000Z,CMO,X,adjusted,channel,12273.562,nT
2026-03-18T20:18:00.000Z,CMO,X,adjusted,channel,12273.877,nT
2026-03-18T20:19:00.000Z,CMO,X,adjusted,channel,12273.775,nT
2026-03-18T20:20:00.000Z,CMO,X,adjusted,channel,12272.71,nT
2026-03-18T20:21:00.000Z,CMO,X,adjusted,channel,12272.908,nT
2026-03-18T20:22:00.000Z,CMO,X,adjusted,channel,12270.508,nT
2026-03-18T20:23:00.000Z,CMO,X,adjusted,channel,12275.539,nT
2026-03-18T20:24:00.000Z,CMO,X,adjusted,channel,12275.662,nT
2026-03-18T20:25:00.000Z,CMO,X,adjusted,channel,12269.495,nT
2026-03-18T20:26:00.000Z,CMO,X,adjusted,channel,12270.515,nT
2026-03-18T20:27:00.000Z,CMO,X,adjusted,channel,12273.108,nT
2026-03-18T20:28:00.000Z,CMO,X,adjusted,channel,12272.498,nT
2026-03-18T20:29:00.000Z,CMO,X,adjusted,channel,12271.771,nT
2026-03-18T20:30:00.000Z,CMO,X,adjusted,channel,12272.509,nT
2026-03-18T20:31:00.000Z,CMO,X,adjusted,channel,12272.141,nT
2026-03-18T20:32:00.000Z,CMO,X,adjusted,channel,12271.209,nT
2026-03-18T20:33:00.000Z,CMO,X,adjusted,channel,12269.565,nT
2026-03-18T20:34:00.000Z,CMO,X,adjusted,channel,12271.979,nT
2026-03-18T20:35:00.000Z,CMO,X,adjusted,channel,12274.114,nT
2026-03-18T20:36:00.000Z,CMO,X,adjusted,channel,12274.683,nT
2026-03-18T20:37:00.000Z,CMO,X,adjusted,channel,12275.899,nT
2026-03-18T20:38:00.000Z,CMO,X,adjusted,channel,12277.957,nT
2026-03-18T20:39:00.000Z,CMO,X,adjusted,channel,12276.847,nT
2026-03-18T20:40:00.000Z,CMO,X,adjusted,channel,12275.671,nT
2026-03-18T20:41:00.000Z,CMO,X,adjusted,channel,12270.736,nT
2026-03-18T20:42:00.000Z,CMO,X,adjusted,channel,12266.677,nT
2026-03-18T20:43:00.000Z,CMO,X,adjusted,channel,12269.292,nT
2026-03-18T20:44:00.000Z,CMO,X,adjusted,channel,12269.925,nT
2026-03-18T20:45:00.000Z,CMO,X,adjusted,channel,12265.519,nT
2026-03-18T20:46:00.000Z,CMO,X,adjusted,channel,12262.966,nT
2026-03-18T20:47:00.000Z,CMO,X,adjusted,channel,12263.736,nT
2026-03-18T20:48:00.000Z,CMO,X,adjusted,channel,12263.274,nT
2026-03-18T20:49:00.000Z,CMO,X,adjusted,channel,12264.526,nT
2026-03-18T20:50:00.000Z,CMO,X,adjusted,channel,12268.264,nT
2026-03-18T20:51:00.000Z,CMO,X,adjusted,channel,12273.194,nT
2026-03-18T20:52:00.000Z,CMO,X,adjusted,channel,12275.709,nT
