timestamp,station,channel,data_type,view,value,units
2026-03-18T17:30:00.000Z,COLA,X,variation,channel,13180.40063772407,nT
2026-03-18T17:31:00.000Z,COLA,X,variation,channel,13180.093935203764,nT
2026-03-18T17:32:00.000Z,COLA,X,variation,channel,13179.194903397189,nT
2026-03-18T17:33:00.000Z,COLA,X,variation,channel,13178.461108485637,nT
2026-03-18T17:34:00.000Z,COLA,X,variation,channel,13178.636451927703,nT
2026-03-18T17:35:00.000Z,COLA,X,variation,channel,13179.206363605786,nT
2026-03-18T17:36:00.000Z,COLA,X,variation,channel,13179.582899178065,nT
2026-03-18T17:37:00.000Z,COLA,X,variation,channel,13179.760122442876,nT
2026-03-18T17:38:00.000Z,COLA,X,variation,channel,13179.56993565792,nT
2026-03-18T17:39:00.000Z,COLA,X,variation,channel,13178.122287492068,nT
2026-03-18T17:40:00.000Z,COLA,X,variation,channel,13177.839923067118,nT
2026-03-18T17:41:00.000Z,COLA,X,variation,channel,13177.398521053025,nT
2026-03-18T17:42:00.000Z,COLA,X,variation,channel,13177.144658373194,nT
2026-03-18T17:43:00.000Z,COLA,X,variation,channel,13177.867939542997,nT
2026-03-18T17:44:00.000Z,COLA,X,variation,channel,13178.274458680387,nT
2026-03-18T17:45:00.000Z,COLA,X,variation,channel,13178.871518778467,nT
2026-03-18T17:46:00.000Z,COLA,X,variation,channel,13179.228280483914,nT
2026-03-18T17:47:00.000Z,COLA,X,variation,channel,13179.860918846001,nT
2026-03-18T17:48:00.000Z,COLA,X,variation,channel,13179.60854677009,nT
2026-03-18T17:49:00.000Z,COLA,X,variation,channel,13178.603003422375,nT
2026-03-18T17:50:00.000Z,COLA,X,variation,channel,13178.513010223749,nT
2026-03-18T17:51:00.000Z,COLA,X,variation,channel,13178.422197242164,nT
2026-03-18T17:52:00.000Z,COLA,X,variation,channel,13178.092183991352,nT
2026-03-18T17:53:00.000Z,COLA,X,variation,channel,13177.679208703312,nT
2026-03-18T17:54:00.000Z,COLA,X,variation,channel,13177.48074903264,nT
2026-03-18T17:55:00.000Z,COLA,X,variation,channel,13177.655125740564,nT
2026-03-18T17:56:00.000Z,COLA,X,variation,channel,13178.26244341781,nT
2026-03-18T17:57:00.000Z,COLA,X,variation,channel,13178.218720153864,nT
2026-03-18T17:58:00.000Z,COLA,X,variation,channel,13177.438296205684,nT
2026-03-18T17:59:00.000Z,COLA,X,variation,channel,13177.33779377585,nT
2026-03-18T18:00:00.000Z,COLA,X,variation,channel,13177.328539676471,nT
2026-03-18T18:01:00.000Z,COLA,X,variation,channel,13176.401161916632,nT
2026-03-18T18:02:00.000Z,COLA,X,variation,channel,13176.868039845482,nT
2026-03-18T18:03:00.000Z,COLA,X,variation,channel,13177.263897064877,nT
2026-03-18T18:04:00.000Z,COLA,X,variation,channel,13176.37847855058,nT
2026-03-18T18:05:00.000Z,COLA,X,variation,channel,13176.915103900254,nT
2026-03-18T18:06:00.000Z,COLA,X,variation,channel,13176.567180063586,nT
2026-03-18T18:07:00.000Z,COLA,X,variation,channel,13176.605726557134,nT
2026-03-18T18:08:00.000Z,COLA,X,variation,channel,13175.390704374919,nT
2026-03-18T18:09:00.000Z,COLA,X,variation,channel,13174.538864638957,nT
2026-03-18T18:10:00.000Z,COLA,X,variation,channel,13173.932635233383,nT
2026-03-18T18:11:00.000Z,COLA,X,variation,channel,13174.234310028052,nT
2026-03-18T18:12:00.000Z,COLA,X,variation,channel,13174.126710533163,nT
2026-03-18T18:13:00.000Z,COLA,X,variation,channel,13173.947061850442,nT
2026-03-18T18:14:00.000Z,COLA,X,variation,channel,13172.978412450402,nT
2026-03-18T18:15:00.000Z,COLA,X,variation,channel,13173.586093979933,nT
2026-03-18T18:16:00.000Z,COLA,X,variation,channel,13174.444471247936,nT
2026-03-18T18:17:00.000Z,COLA,X,variation,channel,13174.47989700302,nT
2026-03-18T18:18:00.000Z,COLA,X,variation,channel,13175.062727326298,nT
2026-03-18T18:19:00.000Z,COLA,X,variation,channel,13176.286949346835,nT
2026-03-18T18:20:00.000Z,COLA,X,variation,channel,13175.699572949854,nT
2026-03-18T18:21:00.000Z,COLA,X,variation,channel,13175.581840651408,nT
2026-03-18T18:22:00.000Z,COLA,X,variation,channel,13175.139632267044,nT
2026-03-18T18:23:00.000Z,COLA,X,variation,channel,13175.05169434569,nT
2026-03-18T18:24:00.000Z,COLA,X,variation,channel,13175.373969796461,nT
2026-03-18T18:25:00.000Z,COLA,X,variation,channel,13175.445975319994,nT
2026-03-18T18:26:00.000Z,COLA,X,variation,channel,13175.595839401283,nT
2026-03-18T18:27:00.000Z,COLA,X,variation,channel,13175.856861295126,nT
2026-03-18T18:28:00.000Z,COLA,X,variation,channel,13175.956184007822,nT
2026-03-18T18:29:00.000Z,COLA,X,variation,channel,13175.482168953256,nT
2026-03-18T18:30:00.000Z,COLA,X,variation,channel,13174.964118468404,nT
2026-03-18T18:31:00.000Z,COLA,X,variation,channel,13175.094815911256,nT
2026-03-18T18:32:00.000Z,COLA,X,variation,channel,13175.531675654622,nT
2026-03-18T18:33:00.000Z,COLA,X,variation,channel,13174.7683863991,nT
2026-03-18T18:34:00.000Z,COLA,X,variation,channel,13175.260233483665,nT
2026-03-18T18:35:00.000Z,COLA,X,variation,channel,13176.086197467335,nT
2026-03-18T18:36:00.000Z,COLA,X,variation,channel,13175.079977377098,nT
2026-03-18T18:37:00.000Z,COLA,X,variation,channel,13175.33501082774,nT
2026-03-18T18:38:00.000Z,COLA,X,variation,channel,13175.304421552752,nT
2026-03-18T18:39:00.000Z,COLA,X,variation,channel,13174.011639697606,nT
2026-03-18T18:40:00.000Z,COLA,X,variation,channel,13174.054177748718,nT
2026-03-18T18:41:00.000Z,COLA,X,variation,channel,13174.987512839412,nT
2026-03-18T18:42:00.000Z,COLA,X,variation,channel,13173.952997892875,nT
2026-03-18T18:43:00.000Z,COLA,X,variation,channel,13172.907320878403,nT
2026-03-18T18:44:00.000Z,COLA,X,variation,channel,13173.393325152498,nT
2026-03-18T18:45:00.000Z,COLA,X,variation,channel,13173.624578690515,nT
2026-03-18T18:46:00.000Z,COLA,X,variation,channel,13171.998514897325,nT
2026-03-18T18:47:00.000Z,COLA,X,variation,channel,13170.357430465308,nT
2026-03-18T18:48:00.000Z,COLA,X,variation,channel,13169.333678381505,nT
2026-03-18T18:49:00.000Z,COLA,X,variation,channel,13167.500618323123,nT
2026-03-18T18:50:00.000Z,COLA,X,variation,channel,13166.534257675396,nT
2026-03-18T18:51:00.000Z,COLA,X,variation,channel,13163.238500365698,nT
2026-03-18T18:52:00.000Z,COLA,X,variation,channel,13161.529529833155,nT
2026-03-18T18:53:00.000Z,COLA,X,variation,channel,13161.898923982084,nT
2026-03-18T18:54:00.000Z,COLA,X,variation,channel,13163.174192113613,nT
2026-03-18T18:55:00.000Z,COLA,X,variation,channel,13163.607094645628,nT
2026-03-18T18:56:00.000Z,COLA,X,variation,channel,13165.227485873515,nT
2026-03-18T18:57:00.000Z,COLA,X,variation,channel,13168.993872355872,nT
2026-03-18T18:58:00.000Z,COLA,X,variation,channel,13172.66619093963,nT
2026-03-18T18:59:00.000Z,COLA,X,variation,channel,13174.626800907628,nT
2026-03-18T19:00:00.000Z,COLA,X,variation,channel,13172.752994443523,nT
2026-03-18T19:01:00.000Z,COLA,X,variation,channel,13170.559189171205,nT
2026-03-18T19:02:00.000Z,COLA,X,variation,channel,13169.654369902804,nT
2026-03-18T19:03:00.000Z,COLA,X,variation,channel,13169.70301428334,nT
2026-03-18T19:04:00.000Z,COLA,X,variation,channel,13170.115438076213,nT
2026-03-18T19:05:00.000Z,COLA,X,variation,channel,13171.61271231252,nT
2026-03-18T19:06:00.000Z,COLA,X,variation,channel,13173.471744188482,nT
2026-03-18T19:07:00.000Z,COLA,X,variation,channel,13172.404262628594,nT
2026-03-18T19:08:00.000Z,COLA,X,variation,channel,13171.398006585337,nT
2026-03-18T19:09:00.000Z,COLA,X,variation,channel,13171.599698723408,nT
2026-03-18T19:10:00.000Z,COLA,X,variation,channel,13171.202430386407,nT
2026-03-18T19:11:00.000Z,COLA,X,variation,channel,13171.68905779834,nT
2026-03-18T19:12:00.000Z,COLA,X,variation,channel,13171.420222154802,nT
2026-03-18T19:13:00.000Z,COLA,X,variation,channel,13170.106658296787,nT
2026-03-18T19:14:00.000Z,COLA,X,variation,channel,13170.306416214913,nT
2026-03-18T19:15:00.000Z,COLA,X,variation,channel,13172.220353037997,nT
2026-03-18T19:16:00.000Z,COLA,X,variation,channel,13172.609640052915,nT
2026-03-18T19:17:00.000Z,COLA,X,variation,channel,13173.05229976062,nT
2026-03-18T19:18:00.000Z,COLA,X,variation,channel,13172.48794737817,nT
2026-03-18T19:19:00.000Z,COLA,X,variation,channel,13169.050755834774,nT
2026-03-18T19:20:00.000Z,COLA,X,variation,channel,13165.897962593532,nT
2026-03-18T19:21:00.000Z,COLA,X,variation,channel,13166.247205342022,nT
2026-03-18T19:22:00.000Z,COLA,X,variation,channel,13167.60406219049,nT
2026-03-18T19:23:00.000Z,COLA,X,variation,channel,13167.240270002374,nT
2026-03-18T19:24:00.000Z,COLA,X,variation,channel,13167.755028986287,nT
2026-03-18T19:25:00.000Z,COLA,X,variation,channel,13168.507200743972,nT
2026-03-18T19:26:00.000Z,COLA,X,variation,channel,13169.2757388894,nT
2026-03-18T19:27:00.000Z,COLA,X,variation,channel,13170.492215897306,nT
2026-03-18T19:28:00.000Z,COLA,X,variation,channel,13170.232872548857,nT
2026-03-18T19:29:00.000Z,COLA,X,variation,channel,13169.430686876114,nT
2026-03-18T19:30:00.000Z,COLA,X,variation,channel,13171.238265965954,nT
2026-03-18T19:31:00.000Z,COLA,X,variation,channel,13173.977345901607,nT
2026-03-18T19:32:00.000Z,COLA,X,variation,channel,13173.130660734008,nT
2026-03-18T19:33:00.000Z,COLA,X,variation,channel,13171.537137196074,nT
2026-03-18T19:34:00.000Z,COLA,X,variation,channel,13171.32085949949,nT
2026-03-18T19:35:00.000Z,COLA,X,variation,channel,13171.537266821706,nT
2026-03-18T19:36:00.000Z,COLA,X,variation,channel,13171.336377088935,nT
2026-03-18T19:37:00.000Z,COLA,X,variation,channel,13171.358358258207,nT
2026-03-18T19:38:00.000Z,COLA,X,variation,channel,13171.512078587495,nT
2026-03-18T19:39:00.000Z,COLA,X,variation,channel,13171.635952239816,nT
2026-03-18T19:40:00.000Z,COLA,X,variation,channel,13173.495998548611,nT
2026-03-18T19:41:00.000Z,COLA,X,variation,channel,13174.255662417738,nT
2026-03-18T19:42:00.000Z,COLA,X,variation,channel,13173.95072718896,nT
2026-03-18T19:43:00.000Z,COLA,X,variation,channel,13171.360128416996,nT
