timestamp,station,channel,data_type,view,value,units
2026-03-18T17:30:00.000Z,KSU1,X,variation,channel,37173.15969898118,nT
2026-03-18T17:31:00.000Z,KSU1,X,variation,channel,37173.170770763885,nT
2026-03-18T17:32:00.000Z,KSU1,X,variation,channel,37172.896315206606,nT
2026-03-18T17:33:00.000Z,KSU1,X,variation,channel,37172.652877886336,nT
2026-03-18T17:34:00.000Z,KSU1,X,variation,channel,37172.44816032236,nT
2026-03-18T17:35:00.000Z,KSU1,X,variation,channel,37171.48274099976,nT
2026-03-18T17:36:00.000Z,KSU1,X,variation,channel,37170.91400659702,nT
2026-03-18T17:37:00.000Z,KSU1,X,variation,channel,37171.44012495345,nT
2026-03-18T17:38:00.000Z,KSU1,X,variation,channel,37171.65281563216,nT
2026-03-18T17:39:00.000Z,KSU1,X,variation,channel,37171.408579772375,nT
2026-03-18T17:40:00.000Z,KSU1,X,variation,channel,37171.11295996336,nT
2026-03-18T17:41:00.000Z,KSU1,X,variation,channel,37178.792984846004,nT
2026-03-18T17:42:00.000Z,KSU1,X,variation,channel,37179.55110395044,nT
2026-03-18T17:43:00.000Z,KSU1,X,variation,channel,37179.40825569877,nT
2026-03-18T17:44:00.000Z,KSU1,X,variation,channel,37179.28293010998,nT
2026-03-18T17:45:00.000Z,KSU1,X,variation,channel,37179.25558861053,nT
2026-03-18T17:46:00.000Z,KSU1,X,variation,channel,37179.19597590205,nT
2026-03-18T17:47:00.000Z,KSU1,X,variation,channel,37179.16149982353,nT
2026-03-18T17:48:00.000Z,KSU1,X,variation,channel,37179.020217378114,nT
2026-03-18T17:49:00.000Z,KSU1,X,variation,channel,37179.17876037292,nT
2026-03-18T17:50:00.000Z,KSU1,X,variation,channel,37179.1977525524,nT
2026-03-18T17:51:00.000Z,KSU1,X,variation,channel,37179.14154390679,nT
2026-03-18T17:52:00.000Z,KSU1,X,variation,channel,37179.36740616974,nT
2026-03-18T17:53:00.000Z,KSU1,X,variation,channel,37179.565275111774,nT
2026-03-18T17:54:00.000Z,KSU1,X,variation,channel,37179.28339366691,nT
2026-03-18T17:55:00.000Z,KSU1,X,variation,channel,37179.218446470586,nT
2026-03-18T17:56:00.000Z,KSU1,X,variation,channel,37179.023460950935,nT
2026-03-18T17:57:00.000Z,KSU1,X,variation,channel,37179.057183466604,nT
2026-03-18T17:58:00.000Z,KSU1,X,variation,channel,37178.97400952429,nT
2026-03-18T17:59:00.000Z,KSU1,X,variation,channel,37179.06640910168,nT
2026-03-18T18:00:00.000Z,KSU1,X,variation,channel,37179.16685401625,nT
2026-03-18T18:01:00.000Z,KSU1,X,variation,channel,37178.67966261843,nT
2026-03-18T18:02:00.000Z,KSU1,X,variation,channel,37178.79774612218,nT
2026-03-18T18:03:00.000Z,KSU1,X,variation,channel,37178.87439435981,nT
2026-03-18T18:04:00.000Z,KSU1,X,variation,channel,37178.704477852494,nT
2026-03-18T18:05:00.000Z,KSU1,X,variation,channel,37178.9045843764,nT
2026-03-18T18:06:00.000Z,KSU1,X,variation,channel,37178.69131188927,nT
2026-03-18T18:07:00.000Z,KSU1,X,variation,channel,37179.091963255094,nT
2026-03-18T18:08:00.000Z,KSU1,X,variation,channel,37179.14958655858,nT
2026-03-18T18:09:00.000Z,KSU1,X,variation,channel,37179.198653267886,nT
2026-03-18T18:10:00.000Z,KSU1,X,variation,channel,37179.07918368856,nT
2026-03-18T18:11:00.000Z,KSU1,X,variation,channel,37179.61324717977,nT
2026-03-18T18:12:00.000Z,KSU1,X,variation,channel,37179.32095642402,nT
2026-03-18T18:13:00.000Z,KSU1,X,variation,channel,37179.244923408594,nT
2026-03-18T18:14:00.000Z,KSU1,X,variation,channel,37179.44847122318,nT
2026-03-18T18:15:00.000Z,KSU1,X,variation,channel,37179.18109937255,nT
2026-03-18T18:16:00.000Z,KSU1,X,variation,channel,37179.14616353188,nT
2026-03-18T18:17:00.000Z,KSU1,X,variation,channel,37179.14724696654,nT
2026-03-18T18:18:00.000Z,KSU1,X,variation,channel,37179.01173676043,nT
2026-03-18T18:19:00.000Z,KSU1,X,variation,channel,37179.04747606277,nT
2026-03-18T18:20:00.000Z,KSU1,X,variation,channel,37179.18854510103,nT
2026-03-18T18:21:00.000Z,KSU1,X,variation,channel,37178.931019430405,nT
2026-03-18T18:22:00.000Z,KSU1,X,variation,channel,37178.98263062389,nT
2026-03-18T18:23:00.000Z,KSU1,X,variation,channel,37178.83987049081,nT
2026-03-18T18:24:00.000Z,KSU1,X,variation,channel,37178.733758591945,nT
2026-03-18T18:25:00.000Z,KSU1,X,variation,channel,37178.6489785306,nT
2026-03-18T18:26:00.000Z,KSU1,X,variation,channel,37178.56309605633,nT
