timestamp,station,channel,data_type,view,value,units
2026-04-08T17:30:00.000Z,KSU1,X,variation,channel,37149.1396088005,nT
2026-04-08T17:31:00.000Z,KSU1,X,variation,channel,37148.52530908647,nT
2026-04-08T17:32:00.000Z,KSU1,X,variation,channel,37149.19559880293,nT
2026-04-08T17:33:00.000Z,KSU1,X,variation,channel,37149.338437276805,nT
2026-04-08T17:34:00.000Z,KSU1,X,variation,channel,37149.57637094321,nT
2026-04-08T17:35:00.000Z,KSU1,X,variation,channel,37149.719571970076,nT
2026-04-08T17:36:00.000Z,KSU1,X,variation,channel,37149.54493772684,nT
2026-04-08T17:37:00.000Z,KSU1,X,variation,channel,37149.40670672728,nT
2026-04-08T17:38:00.000Z,KSU1,X,variation,channel,37149.329931480155,nT
2026-04-08T17:39:00.000Z,KSU1,X,variation,channel,37149.45425933508,nT
2026-04-08T17:40:00.000Z,KSU1,X,variation,channel,37149.189793415324,nT
2026-04-08T17:41:00.000Z,KSU1,X,variation,channel,37148.91264429655,nT
2026-04-08T17:42:00.000Z,KSU1,X,variation,channel,37147.94285307712,nT
2026-04-08T17:43:00.000Z,KSU1,X,variation,channel,37147.703139356,nT
2026-04-08T17:44:00.000Z,KSU1,X,variation,channel,37148.5545307018,nT
2026-04-08T17:45:00.000Z,KSU1,X,variation,channel,37148.57764095368,nT
2026-04-08T17:46:00.000Z,KSU1,X,variation,channel,37148.274168371565,nT
2026-04-08T17:47:00.000Z,KSU1,X,variation,channel,37147.94075172787,nT
2026-04-08T17:48:00.000Z,KSU1,X,variation,channel,37147.31756507672,nT
2026-04-08T17:49:00.000Z,KSU1,X,variation,channel,37147.091786332436,nT
2026-04-08T17:50:00.000Z,KSU1,X,variation,channel,37146.483047541675,nT
2026-04-08T17:51:00.000Z,KSU1,X,variation,channel,37145.732848559885,nT
2026-04-08T17:52:00.000Z,KSU1,X,variation,channel,37145.45397322834,nT
2026-04-08T17:53:00.000Z,KSU1,X,variation,channel,37145.02129872699,nT
2026-04-08T17:54:00.000Z,KSU1,X,variation,channel,37144.792292014776,nT
2026-04-08T17:55:00.000Z,KSU1,X,variation,channel,37144.55578995675,nT
2026-04-08T17:56:00.000Z,KSU1,X,variation,channel,37144.515557453036,nT
2026-04-08T17:57:00.000Z,KSU1,X,variation,channel,37144.350845648914,nT
2026-04-08T17:58:00.000Z,KSU1,X,variation,channel,37144.54846580892,nT
2026-04-08T17:59:00.000Z,KSU1,X,variation,channel,37144.80451704631,nT
2026-04-08T18:00:00.000Z,KSU1,X,variation,channel,37144.868907103155,nT
2026-04-08T18:01:00.000Z,KSU1,X,variation,channel,37144.93352832438,nT
2026-04-08T18:02:00.000Z,KSU1,X,variation,channel,37144.90291034929,nT
2026-04-08T18:03:00.000Z,KSU1,X,variation,channel,37145.081154217165,nT
2026-04-08T18:04:00.000Z,KSU1,X,variation,channel,37145.02088146469,nT
2026-04-08T18:05:00.000Z,KSU1,X,variation,channel,37145.11067434936,nT
2026-04-08T18:06:00.000Z,KSU1,X,variation,channel,37145.26335045336,nT
2026-04-08T18:07:00.000Z,KSU1,X,variation,channel,37145.50733513741,nT
2026-04-08T18:08:00.000Z,KSU1,X,variation,channel,37145.4231422494,nT
2026-04-08T18:09:00.000Z,KSU1,X,variation,channel,37145.20804125146,nT
2026-04-08T18:10:00.000Z,KSU1,X,variation,channel,37145.279729708716,nT
2026-04-08T18:11:00.000Z,KSU1,X,variation,channel,37145.2474732467,nT
2026-04-08T18:12:00.000Z,KSU1,X,variation,channel,37145.304744395544,nT
2026-04-08T18:13:00.000Z,KSU1,X,variation,channel,37145.71957695467,nT
2026-04-08T18:14:00.000Z,KSU1,X,variation,channel,37145.583994450186,nT
2026-04-08T18:15:00.000Z,KSU1,X,variation,channel,37145.27951528987,nT
2026-04-08T18:16:00.000Z,KSU1,X,variation,channel,37145.064744615534,nT
2026-04-08T18:17:00.000Z,KSU1,X,variation,channel,37145.24440177256,nT
2026-04-08T18:18:00.000Z,KSU1,X,variation,channel,37145.67242285704,nT
2026-04-08T18:19:00.000Z,KSU1,X,variation,channel,37145.73561955778,nT
2026-04-08T18:20:00.000Z,KSU1,X,variation,channel,37146.182260197194,nT
2026-04-08T18:21:00.000Z,KSU1,X,variation,channel,37146.20905765147,nT
2026-04-08T18:22:00.000Z,KSU1,X,variation,channel,37145.92955358085,nT
2026-04-08T18:23:00.000Z,KSU1,X,variation,channel,37145.57205158193,nT
2026-04-08T18:24:00.000Z,KSU1,X,variation,channel,37145.351521546545,nT
2026-04-08T18:25:00.000Z,KSU1,X,variation,channel,37145.598415556684,nT
2026-04-08T18:26:00.000Z,KSU1,X,variation,channel,37145.44329511882,nT
2026-04-08T18:27:00.000Z,KSU1,X,variation,channel,37144.88515745353,nT
2026-04-08T18:28:00.000Z,KSU1,X,variation,channel,37144.42459536918,nT
2026-04-08T18:29:00.000Z,KSU1,X,variation,channel,37144.22665517304,nT
2026-04-08T18:30:00.000Z,KSU1,X,variation,channel,37143.608531762526,nT
2026-04-08T18:31:00.000Z,KSU1,X,variation,channel,37143.31063826743,nT
2026-04-08T18:32:00.000Z,KSU1,X,variation,channel,37143.69945491467,nT
2026-04-08T18:33:00.000Z,KSU1,X,variation,channel,37142.83021010988,nT
2026-04-08T18:34:00.000Z,KSU1,X,variation,channel,37142.71916479823,nT
2026-04-08T18:35:00.000Z,KSU1,X,variation,channel,37141.72248076794,nT
2026-04-08T18:36:00.000Z,KSU1,X,variation,channel,37141.63552352841,nT
2026-04-08T18:37:00.000Z,KSU1,X,variation,channel,37141.58495563259,nT
2026-04-08T18:38:00.000Z,KSU1,X,variation,channel,37141.26546254023,nT
2026-04-08T18:39:00.000Z,KSU1,X,variation,channel,37141.42519634132,nT
2026-04-08T18:40:00.000Z,KSU1,X,variation,channel,37141.623237541564,nT
2026-04-08T18:41:00.000Z,KSU1,X,variation,channel,37141.93559238957,nT
2026-04-08T18:42:00.000Z,KSU1,X,variation,channel,37140.9020032575,nT
2026-04-08T18:43:00.000Z,KSU1,X,variation,channel,37140.70924178237,nT
2026-04-08T18:44:00.000Z,KSU1,X,variation,channel,37140.72802181913,nT
2026-04-08T18:45:00.000Z,KSU1,X,variation,channel,37140.44437824345,nT
2026-04-08T18:46:00.000Z,KSU1,X,variation,channel,37140.4046970421,nT
2026-04-08T18:47:00.000Z,KSU1,X,variation,channel,37140.3344386101,nT
2026-04-08T18:48:00.000Z,KSU1,X,variation,channel,37139.59695188351,nT
2026-04-08T18:49:00.000Z,KSU1,X,variation,channel,37138.6962310815,nT
2026-04-08T18:50:00.000Z,KSU1,X,variation,channel,37138.60969472985,nT
2026-04-08T18:51:00.000Z,KSU1,X,variation,channel,37137.651763447495,nT
2026-04-08T18:52:00.000Z,KSU1,X,variation,channel,37136.87987992818,nT
2026-04-08T18:53:00.000Z,KSU1,X,variation,channel,37137.08124233951,nT
2026-04-08T18:54:00.000Z,KSU1,X,variation,channel,37137.088536716175,nT
2026-04-08T18:55:00.000Z,KSU1,X,variation,channel,37136.86545187772,nT
2026-04-08T18:56:00.000Z,KSU1,X,variation,channel,37136.4291514521,nT
2026-04-08T18:57:00.000Z,KSU1,X,variation,channel,37136.66857272334,nT
2026-04-08T18:58:00.000Z,KSU1,X,variation,channel,37136.27544268503,nT
2026-04-08T18:59:00.000Z,KSU1,X,variation,channel,37137.1846786819,nT
